isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
0	XLOC_007714	TCONS_00015798	AT1G09387	AT1G09387.1	antisense	intergenic	6623	divergent	upstream
0	XLOC_007714	TCONS_00015798	AT1G73470	AT1G73470.3	antisense	intergenic	5546	convergent	downstream
0	XLOC_007714	TCONS_00015798	AT1G73460	AT1G73460.2	antisense	intergenic	8120	convergent	downstream
1	XLOC_019991	TCONS_00040681	AT4G13495	AT4G13495.1	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040681	AT4G13494	at4g13494	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040681	AT4G06085	AT4G06085.1	antisense	intergenic	746	convergent	downstream
0	XLOC_019991	TCONS_00040681	AT4G13495	AT4G13495.2	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040681	AT4G13490	AT4G13490.1	antisense	intergenic	2675	divergent	upstream
0	XLOC_019991	TCONS_00040681	AT4G06095	AT4G06095.1	sense	intergenic	8090	same_strand	upstream
0	XLOC_019991	TCONS_00040681	AT4G06075	at4g06075	sense	genic	0	containing	intronic
0	XLOC_019991	TCONS_00040681	AT4G13500	AT4G13500.1	antisense	intergenic	9251	convergent	downstream
0	XLOC_019991	TCONS_00040681	AT4G06080	AT4G06080.1	antisense	intergenic	127	convergent	downstream
0	XLOC_019991	TCONS_00040681	AT4G13480	AT4G13480.1	sense	intergenic	5196	same_strand	downstream
0	XLOC_019991	TCONS_00040681	AT4G13493	at4g13493	sense	genic	0	containing	intronic
0	XLOC_019991	TCONS_00040681	AT4G06090	AT4G06090.1	sense	intergenic	2725	same_strand	upstream
1	XLOC_006110	TCONS_00012629	AT1G36180	AT1G36180.1	antisense	intergenic	19290	convergent	downstream
1	AT1G08747	AT1G08747.1	AT1G65230	AT1G65230.1	antisense	genic	0	nested	exonic
0	AT1G08747	AT1G08747.1	AT1G65210	AT1G65210.1	antisense	intergenic	3443	convergent	downstream
0	AT1G08747	AT1G08747.1	AT1G08743	AT1G08743.1	antisense	intergenic	6071	convergent	downstream
0	AT1G08747	AT1G08747.1	AT1G65250	AT1G65250.1	antisense	intergenic	4705	divergent	upstream
0	AT1G08747	AT1G08747.1	AT1G65240	AT1G65240.1	sense	intergenic	1292	same_strand	downstream
0	AT1G08747	AT1G08747.1	AT1G65200	AT1G65200.1	sense	intergenic	6464	same_strand	upstream
0	AT1G08747	AT1G08747.1	AT1G08747	AT1G08747.1	sense	genic	0	containing	exonic
0	AT1G08747	AT1G08747.1	AT1G65220	AT1G65220.1	antisense	intergenic	288	convergent	downstream
0	AT1G08747	AT1G08747.1	AT1G65260	AT1G65260.2	antisense	intergenic	6513	divergent	upstream
0	AT1G08747	AT1G08747.1	AT1G65260	AT1G65260.1	antisense	intergenic	6513	divergent	upstream
0	AT1G08747	AT1G08747.1	AT1G08747	AT1G08747.2	sense	intergenic	811	same_strand	downstream
1	XLOC_024724	TCONS_00050667	AT5G15970	AT5G15970.1	sense	genic	0	containing	exonic
0	XLOC_024724	TCONS_00050667	AT5G02485	AT5G02485.1	antisense	intergenic	3347	convergent	downstream
0	XLOC_024724	TCONS_00050667	AT5G15960	AT5G15960.1	sense	genic	0	containing	exonic
0	XLOC_024724	TCONS_00050667	AT5G15950	AT5G15950.1	sense	intergenic	1622	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15920	AT5G15920.1	sense	intergenic	9912	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15940	AT5G15940.2	sense	intergenic	4734	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15930	AT5G15930.1	sense	intergenic	7157	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15940	AT5G15940.3	sense	intergenic	4726	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15980	AT5G15980.1	sense	intergenic	306	same_strand	upstream
0	XLOC_024724	TCONS_00050667	AT5G15950	AT5G15950.2	sense	intergenic	1573	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15940	AT5G15940.1	sense	intergenic	4734	same_strand	downstream
0	XLOC_024724	TCONS_00050667	AT5G15940	AT5G15940.4	sense	intergenic	5071	same_strand	downstream
1	XLOC_019991	TCONS_00040686	AT4G13495	AT4G13495.2	sense	genic	0	overlapping	exonic
0	XLOC_019991	TCONS_00040686	AT4G06090	AT4G06090.1	sense	intergenic	2725	same_strand	upstream
0	XLOC_019991	TCONS_00040686	AT4G13493	at4g13493	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040686	AT4G13480	AT4G13480.1	sense	intergenic	5207	same_strand	downstream
0	XLOC_019991	TCONS_00040686	AT4G06095	AT4G06095.1	sense	intergenic	8090	same_strand	upstream
0	XLOC_019991	TCONS_00040686	AT4G06075	at4g06075	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040686	AT4G13500	AT4G13500.1	antisense	intergenic	9251	convergent	downstream
0	XLOC_019991	TCONS_00040686	AT4G13490	AT4G13490.1	antisense	intergenic	2686	divergent	upstream
0	XLOC_019991	TCONS_00040686	AT4G13495	AT4G13495.1	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040686	AT4G06080	AT4G06080.1	antisense	intergenic	127	convergent	downstream
0	XLOC_019991	TCONS_00040686	AT4G13494	at4g13494	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040686	AT4G06085	AT4G06085.1	antisense	intergenic	746	convergent	downstream
1	XLOC_003552	TCONS_00007210	AT1G70650	AT1G70650.1	sense	genic	0	overlapping	exonic
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.4	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.3	sense	intergenic	6927	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.2	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70680	AT1G70680.2	sense	intergenic	9246	same_strand	upstream
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.6	sense	intergenic	3804	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.2	sense	intergenic	3799	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.8	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.7	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70670	AT1G70670.1	sense	intergenic	6127	same_strand	upstream
0	XLOC_003552	TCONS_00007210	AT1G70660	AT1G70660.1	sense	intergenic	2157	same_strand	upstream
0	XLOC_003552	TCONS_00007210	AT1G70650	AT1G70650.2	sense	genic	0	overlapping	exonic
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.1	sense	intergenic	3741	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.7	sense	intergenic	3898	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.6	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.9	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70660	AT1G70660.2	sense	intergenic	2127	same_strand	upstream
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.5	sense	intergenic	3847	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70680	AT1G70680.1	sense	intergenic	8767	same_strand	upstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.1	sense	intergenic	6896	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70645	at1g70645	sense	genic	0	containing	exonic
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.4	sense	intergenic	3741	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70640	AT1G70640.1	sense	intergenic	124	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70630	AT1G70630.3	sense	intergenic	3741	same_strand	downstream
0	XLOC_003552	TCONS_00007210	AT1G70620	AT1G70620.5	sense	intergenic	6896	same_strand	downstream
1	XLOC_010144	TCONS_00020826	AT2G09130	AT2G09130.1	antisense	genic	0	overlapping	exonic
0	XLOC_010144	TCONS_00020826	AT2G40290	AT2G40290.1	antisense	intergenic	8756	convergent	downstream
0	XLOC_010144	TCONS_00020826	AT2G40250	AT2G40250.1	sense	intergenic	3996	same_strand	downstream
0	XLOC_010144	TCONS_00020826	AT2G09135	AT2G09135.1	sense	genic	0	containing	exonic
0	XLOC_010144	TCONS_00020826	AT2G40290	AT2G40290.2	antisense	intergenic	8756	convergent	downstream
0	XLOC_010144	TCONS_00020826	AT2G40240	AT2G40240.1	sense	intergenic	6809	same_strand	downstream
0	XLOC_010144	TCONS_00020826	AT2G40270	AT2G40270.1	antisense	intergenic	1924	convergent	downstream
0	XLOC_010144	TCONS_00020826	AT2G40260	AT2G40260.2	antisense	intergenic	597	divergent	upstream
0	XLOC_010144	TCONS_00020826	AT2G09140	AT2G09140.1	sense	intergenic	5036	same_strand	upstream
0	XLOC_010144	TCONS_00020826	AT2G40290	AT2G40290.3	antisense	intergenic	8756	convergent	downstream
0	XLOC_010144	TCONS_00020826	AT2G40270	AT2G40270.2	antisense	intergenic	1924	convergent	downstream
0	XLOC_010144	TCONS_00020826	AT2G40260	AT2G40260.1	antisense	intergenic	597	divergent	upstream
0	XLOC_010144	TCONS_00020826	AT2G40280	AT2G40280.1	antisense	intergenic	5485	convergent	downstream
1	AT1G67105	AT1G67105.1	AT1G67105	AT1G67105.1	sense	genic	0	containing	exonic
0	AT1G67105	AT1G67105.1	AT1G67090	AT1G67090.2	antisense	intergenic	8055	divergent	upstream
0	AT1G67105	AT1G67105.1	AT1G67110	AT1G67110.1	antisense	intergenic	3409	convergent	downstream
0	AT1G67105	AT1G67105.1	AT1G67110	AT1G67110.2	antisense	intergenic	5208	convergent	downstream
0	AT1G67105	AT1G67105.1	AT1G67100	AT1G67100.1	sense	intergenic	2615	same_strand	downstream
0	AT1G67105	AT1G67105.1	AT1G67090	AT1G67090.1	antisense	intergenic	7812	divergent	upstream
1	AT5G23155	AT5G23155.2	AT5G23155	AT5G23155.2	sense	genic	0	containing	exonic
0	AT5G23155	AT5G23155.2	AT5G23155	AT5G23155.1	sense	genic	0	nested	exonic
0	AT5G23155	AT5G23155.2	AT5G23130	AT5G23130.1	sense	intergenic	9112	same_strand	downstream
0	AT5G23155	AT5G23155.2	AT5G23150	AT5G23150.1	sense	intergenic	38	same_strand	downstream
0	AT5G23155	AT5G23155.2	AT5G23150	AT5G23150.2	sense	intergenic	235	same_strand	downstream
0	AT5G23155	AT5G23155.2	AT5G23180	AT5G23180.1	sense	intergenic	6659	same_strand	upstream
0	AT5G23155	AT5G23155.2	AT5G23150	AT5G23150.3	sense	genic	0	overlapping	exonic
0	AT5G23155	AT5G23155.2	AT5G23140	AT5G23140.1	sense	intergenic	7185	same_strand	downstream
0	AT5G23155	AT5G23155.2	AT5G23190	AT5G23190.1	antisense	intergenic	8326	convergent	downstream
0	AT5G23155	AT5G23155.2	AT5G23170	AT5G23170.1	antisense	intergenic	3353	convergent	downstream
0	AT5G23155	AT5G23155.2	AT5G23160	AT5G23160.1	antisense	intergenic	441	convergent	downstream
1	XLOC_025923	TCONS_00053005	AT5G42720	AT5G42720.1	sense	intergenic	111	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42740	AT5G42740.2	sense	intergenic	994	same_strand	upstream
0	XLOC_025923	TCONS_00053005	AT5G42750	AT5G42750.1	antisense	intergenic	8149	convergent	downstream
0	XLOC_025923	TCONS_00053005	AT5G42740	AT5G42740.3	sense	intergenic	1483	same_strand	upstream
0	XLOC_025923	TCONS_00053005	AT5G42700	AT5G42700.1	sense	intergenic	8579	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42710	AT5G42710.1	sense	intergenic	4173	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42710	AT5G42710.3	sense	intergenic	4086	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42700	AT5G42700.2	sense	intergenic	8642	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42710	AT5G42710.2	sense	intergenic	4173	same_strand	downstream
0	XLOC_025923	TCONS_00053005	AT5G42740	AT5G42740.1	sense	intergenic	994	same_strand	upstream
1	XLOC_014740	TCONS_00030367	AT3G05395	AT3G05395.1	sense	genic	0	containing	exonic
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.3	sense	intergenic	9064	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28140	AT3G28140.1	sense	intergenic	6463	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G05385	AT3G05385.1	antisense	genic	0	containing	exonic
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.1	sense	intergenic	9028	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28155	AT3G28155.1	antisense	intergenic	367	convergent	downstream
0	XLOC_014740	TCONS_00030367	AT3G28140	AT3G28140.2	sense	intergenic	6598	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.2	sense	intergenic	9064	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.6	sense	intergenic	9058	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28155	AT3G28155.2	antisense	intergenic	548	convergent	downstream
0	XLOC_014740	TCONS_00030367	AT3G05445	AT3G05445.1	antisense	intergenic	7353	convergent	downstream
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.5	sense	intergenic	9058	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28130	AT3G28130.4	sense	intergenic	9058	same_strand	downstream
0	XLOC_014740	TCONS_00030367	AT3G28150	AT3G28150.1	antisense	intergenic	4034	divergent	upstream
1	XLOC_011691	TCONS_00023817	AT2G24570	AT2G24570.1	sense	intergenic	1244	same_strand	downstream
0	XLOC_011691	TCONS_00023817	AT2G24540	AT2G24540.1	antisense	intergenic	6679	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24530	AT2G24530.2	antisense	intergenic	9960	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24535	AT2G24535.1	antisense	intergenic	8598	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24550	AT2G24550.1	sense	intergenic	4875	same_strand	upstream
0	XLOC_011691	TCONS_00023817	AT2G24560	AT2G24560.2	antisense	intergenic	1288	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24545	AT2G24545.2	sense	intergenic	7099	same_strand	upstream
0	XLOC_011691	TCONS_00023817	AT2G24535	AT2G24535.2	antisense	intergenic	8815	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24580	AT2G24580.1	sense	intergenic	8370	same_strand	downstream
0	XLOC_011691	TCONS_00023817	AT2G24530	AT2G24530.1	antisense	intergenic	9960	convergent	downstream
0	XLOC_011691	TCONS_00023817	AT2G24545	AT2G24545.3	sense	intergenic	6759	same_strand	upstream
0	XLOC_011691	TCONS_00023817	AT2G24545	AT2G24545.1	sense	intergenic	6701	same_strand	upstream
0	XLOC_011691	TCONS_00023817	AT2G24560	AT2G24560.1	antisense	intergenic	1356	convergent	downstream
1	XLOC_023449	TCONS_00047978	AT4G32230	AT4G32230.1	sense	intergenic	1548	same_strand	downstream
0	XLOC_023449	TCONS_00047978	AT4G32260	AT4G32260.1	sense	intergenic	9806	same_strand	downstream
0	XLOC_023449	TCONS_00047978	AT4G32200	AT4G32200.2	antisense	intergenic	8363	convergent	downstream
0	XLOC_023449	TCONS_00047978	AT4G32250	AT4G32250.3	sense	intergenic	6297	same_strand	downstream
0	XLOC_023449	TCONS_00047978	AT4G32208	AT4G32208.1	sense	intergenic	3807	same_strand	upstream
0	XLOC_023449	TCONS_00047978	AT4G32240	AT4G32240.1	antisense	intergenic	4517	divergent	upstream
0	XLOC_023449	TCONS_00047978	AT4G32250	AT4G32250.1	sense	intergenic	6297	same_strand	downstream
0	XLOC_023449	TCONS_00047978	AT4G32250	AT4G32250.2	sense	intergenic	6297	same_strand	downstream
0	XLOC_023449	TCONS_00047978	AT4G32200	AT4G32200.1	antisense	intergenic	8352	convergent	downstream
0	XLOC_023449	TCONS_00047978	AT4G32210	AT4G32210.1	sense	intergenic	5290	same_strand	upstream
1	XLOC_019991	TCONS_00040683	AT4G13495	AT4G13495.1	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040683	AT4G06090	AT4G06090.1	sense	intergenic	2725	same_strand	upstream
0	XLOC_019991	TCONS_00040683	AT4G13493	at4g13493	sense	genic	0	containing	intronic
0	XLOC_019991	TCONS_00040683	AT4G13480	AT4G13480.1	sense	intergenic	5196	same_strand	downstream
0	XLOC_019991	TCONS_00040683	AT4G13490	AT4G13490.1	antisense	intergenic	2675	divergent	upstream
0	XLOC_019991	TCONS_00040683	AT4G06095	AT4G06095.1	sense	intergenic	8090	same_strand	upstream
0	XLOC_019991	TCONS_00040683	AT4G06075	at4g06075	sense	genic	0	containing	intronic
0	XLOC_019991	TCONS_00040683	AT4G13500	AT4G13500.1	antisense	intergenic	9251	convergent	downstream
0	XLOC_019991	TCONS_00040683	AT4G06080	AT4G06080.1	antisense	intergenic	127	convergent	downstream
0	XLOC_019991	TCONS_00040683	AT4G13495	AT4G13495.2	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040683	AT4G13494	at4g13494	sense	genic	0	containing	exonic
0	XLOC_019991	TCONS_00040683	AT4G06085	AT4G06085.1	antisense	intergenic	746	convergent	downstream
1	AT2G41312	AT2G41312.1	AT2G41312	AT2G41312.1	sense	genic	0	containing	exonic
0	AT2G41312	AT2G41312.1	AT2G41300	AT2G41300.1	antisense	intergenic	9250	divergent	upstream
0	AT2G41312	AT2G41312.1	AT2G41312	AT2G41312.2	sense	genic	0	overlapping	exonic
0	AT2G41312	AT2G41312.1	AT2G41355	AT2G41355.1	antisense	intergenic	6847	convergent	downstream
0	AT2G41312	AT2G41312.1	AT2G41360	AT2G41360.1	sense	intergenic	7364	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G41340	AT2G41340.2	sense	intergenic	2040	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G09250	AT2G09250.1	antisense	intergenic	741	divergent	upstream
0	AT2G41312	AT2G41312.1	AT2G41350	AT2G41350.2	sense	intergenic	4648	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G41340	AT2G41340.3	sense	intergenic	2067	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G41310	AT2G41310.1	sense	intergenic	662	same_strand	downstream
0	AT2G41312	AT2G41312.1	AT2G09245	AT2G09245.1	sense	intergenic	7897	same_strand	downstream
0	AT2G41312	AT2G41312.1	AT2G41330	AT2G41330.1	sense	intergenic	255	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G41340	AT2G41340.1	sense	intergenic	2067	same_strand	upstream
0	AT2G41312	AT2G41312.1	AT2G41342	AT2G41342.1	antisense	intergenic	3822	convergent	downstream
0	AT2G41312	AT2G41312.1	AT2G41350	AT2G41350.1	sense	intergenic	4513	same_strand	upstream
1	XLOC_003395	TCONS_00006887	AT1G68250	AT1G68250.2	antisense	genic	0	overlapping	exonic
0	XLOC_003395	TCONS_00006887	AT1G68238	AT1G68238.1	sense	intergenic	4550	same_strand	downstream
0	XLOC_003395	TCONS_00006887	AT1G68240	AT1G68240.1	antisense	intergenic	3256	divergent	upstream
0	XLOC_003395	TCONS_00006887	AT1G68260	AT1G68260.1	antisense	intergenic	5572	convergent	downstream
0	XLOC_003395	TCONS_00006887	AT1G68250	AT1G68250.1	antisense	genic	0	overlapping	exonic
0	XLOC_003395	TCONS_00006887	AT1G68220	AT1G68220.1	sense	intergenic	7652	same_strand	downstream
0	XLOC_003395	TCONS_00006887	AT1G68240	AT1G68240.2	antisense	intergenic	3256	divergent	upstream
0	XLOC_003395	TCONS_00006887	AT1G68270	AT1G68270.1	antisense	intergenic	7989	convergent	downstream
0	XLOC_003395	TCONS_00006887	AT1G68230	AT1G68230.1	sense	intergenic	6442	same_strand	downstream
0	XLOC_003395	TCONS_00006887	AT1G68230	AT1G68230.2	sense	intergenic	5938	same_strand	downstream
1	XLOC_011707	TCONS_00023872	AT2G24755	AT2G24755.4	sense	genic	0	containing	exonic
0	XLOC_011707	TCONS_00023872	AT2G24735	AT2G24735.1	antisense	intergenic	7728	convergent	downstream
0	XLOC_011707	TCONS_00023872	AT2G24762	AT2G24762.1	antisense	intergenic	9680	divergent	upstream
0	XLOC_011707	TCONS_00023872	AT2G24755	AT2G24755.3	sense	genic	0	containing	exonic
0	XLOC_011707	TCONS_00023872	AT2G24755	AT2G24755.1	sense	genic	0	containing	exonic
0	XLOC_011707	TCONS_00023872	AT2G24755	AT2G24755.2	sense	genic	0	containing	exonic
0	XLOC_011707	TCONS_00023872	AT2G24740	AT2G24740.1	sense	intergenic	9658	same_strand	upstream
1	XLOC_008049	TCONS_00016506	AT1G79240	AT1G79240.1	antisense	intergenic	55	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79210	AT1G79210.3	sense	intergenic	5504	same_strand	upstream
0	XLOC_008049	TCONS_00016506	AT1G79190	AT1G79190.1	antisense	intergenic	9999	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79280	AT1G79280.2	sense	intergenic	9321	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79210	AT1G79210.2	sense	intergenic	5506	same_strand	upstream
0	XLOC_008049	TCONS_00016506	AT1G79230	AT1G79230.1	antisense	intergenic	217	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79200	AT1G79200.1	antisense	intergenic	8136	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79270	AT1G79270.2	antisense	intergenic	5685	divergent	upstream
0	XLOC_008049	TCONS_00016506	AT1G79250	AT1G79250.1	sense	intergenic	313	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79270	AT1G79270.1	antisense	intergenic	5649	divergent	upstream
0	XLOC_008049	TCONS_00016506	AT1G79230	AT1G79230.3	antisense	intergenic	311	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79260	AT1G79260.1	antisense	intergenic	3420	divergent	upstream
0	XLOC_008049	TCONS_00016506	AT1G79260	AT1G79260.2	antisense	intergenic	3325	divergent	upstream
0	XLOC_008049	TCONS_00016506	AT1G79250	AT1G79250.3	sense	intergenic	313	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79220	AT1G79220.1	antisense	intergenic	3679	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79270	AT1G79270.3	antisense	intergenic	5685	divergent	upstream
0	XLOC_008049	TCONS_00016506	AT1G79250	AT1G79250.2	sense	intergenic	313	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79280	AT1G79280.1	sense	intergenic	9149	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79250	AT1G79250.4	sense	intergenic	313	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79210	AT1G79210.1	sense	intergenic	5414	same_strand	upstream
0	XLOC_008049	TCONS_00016506	AT1G79230	AT1G79230.2	antisense	intergenic	311	convergent	downstream
0	XLOC_008049	TCONS_00016506	AT1G79280	AT1G79280.3	sense	intergenic	9321	same_strand	downstream
0	XLOC_008049	TCONS_00016506	AT1G79270	AT1G79270.4	antisense	intergenic	5685	divergent	upstream
1	XLOC_008909	TCONS_00018216	AT2G19260	AT2G19260.1	sense	intergenic	142	same_strand	upstream
