t_id_prev	g_id_prev	t_id_new	g_id_new	exon_count	length	class_code
AT1G01940.1	MSTRG.88	AT1G01940.1	AT1G01940	5	877	=
AT1G01950.1	MSTRG.89	AT1G01950.1	AT1G01950	19	3058	=
AT1G01950.4	MSTRG.89	AT1G01950.4	AT1G01950	18	3137	=
MSTRG.89.3	MSTRG.89	TCONS_00000134	XLOC_000059	19	3028	j
AT1G01950.3	MSTRG.89	AT1G01950.3	AT1G01950	20	3058	=
AT1G01950.2	MSTRG.89	AT1G01950.2	AT1G01950	19	2944	=
AT1G01970.1	MSTRG.91	AT1G01970.1	AT1G01970	2	1710	=
AT1G02000.1	MSTRG.94	AT1G02000.1	AT1G02000	1	2088	=
AT1G02010.1	MSTRG.95	AT1G02010.1	AT1G02010	21	2803	=
AT1G02010.3	MSTRG.95	AT1G02010.3	AT1G02010	20	2707	=
AT1G02010.5	MSTRG.95	AT1G02010.5	AT1G02010	20	2676	=
AT1G02010.4	MSTRG.95	AT1G02010.4	AT1G02010	20	2682	=
AT1G02010.2	MSTRG.95	AT1G02010.2	AT1G02010	21	2403	=
AT1G02010.6	MSTRG.95	AT1G02010.6	AT1G02010	15	1970	=
AT1G02065.2	MSTRG.99	AT1G02065.2	AT1G02065	2	2153	=
AT1G02065.1	MSTRG.99	AT1G02065.1	AT1G02065	3	1712	=
AT1G02080.1	MSTRG.102	AT1G02080.1	AT1G02080	50	7527	=
AT1G02080.2	MSTRG.102	AT1G02080.2	AT1G02080	49	7572	=
AT1G02080.3	MSTRG.102	AT1G02080.3	AT1G02080	49	7561	=
MSTRG.102.4	MSTRG.102	TCONS_00000150	XLOC_000064	49	7544	j
MSTRG.102.5	MSTRG.102	TCONS_00000151	XLOC_000064	49	7539	j
AT1G02100.1	MSTRG.104	AT1G02100.1	AT1G02100	12	1445	=
MSTRG.104.2	MSTRG.104	TCONS_00000153	XLOC_000065	12	1502	j
MSTRG.104.3	MSTRG.104	TCONS_00000154	XLOC_000065	32	6066	k
MSTRG.104.5	MSTRG.104	TCONS_00000157	XLOC_000065	12	1420	j
MSTRG.104.6	MSTRG.104	TCONS_00000158	XLOC_000065	12	1511	j
MSTRG.104.4	MSTRG.104	TCONS_00000156	XLOC_000065	12	1397	j
AT1G02100.2	MSTRG.104	AT1G02100.2	AT1G02100	13	1360	=
MSTRG.104.9	MSTRG.104	TCONS_00000159	XLOC_000065	12	1378	n
MSTRG.104.8	MSTRG.104	TCONS_00000160	XLOC_000065	15	4007	n
AT1G02100.3	MSTRG.104	AT1G02100.3	AT1G02100	13	1354	=
MSTRG.104.11	MSTRG.104	TCONS_00000162	XLOC_000065	12	1408	j
AT1G02110.1	MSTRG.104	AT1G02110.1	AT1G02110	4	2474	=
AT1G02120.3	MSTRG.104	AT1G02120.3	AT1G02120	17	2145	=
AT1G02120.2	MSTRG.104	AT1G02120.2	AT1G02120	17	2251	=
AT1G02120.1	MSTRG.104	AT1G02120.1	AT1G02120	18	2150	=
AT1G04087.1	MSTRG.107	AT1G04087.1	AT1G04087	1	209	=
MSTRG.108.1	MSTRG.108	TCONS_00000168	XLOC_000067	27	5859	j
MSTRG.108.2	MSTRG.108	TCONS_00000169	XLOC_000067	25	5999	n
AT1G02145.4	MSTRG.108	AT1G02145.4	AT1G02145	19	1726	=
AT1G02145.3	MSTRG.108	AT1G02145.3	AT1G02145	20	1657	=
AT1G02145.2	MSTRG.108	AT1G02145.2	AT1G02145	15	1363	=
AT1G02145.1	MSTRG.108	AT1G02145.1	AT1G02145	20	1645	=
MSTRG.108.4	MSTRG.108	TCONS_00000174	XLOC_000067	24	4127	j
MSTRG.108.3	MSTRG.108	TCONS_00000175	XLOC_000067	26	5903	n
AT1G02150.1	MSTRG.108	AT1G02150.1	AT1G02150	2	2042	=
AT1G02160.1	MSTRG.108	AT1G02160.1	AT1G02160	3	555	=
AT1G02160.2	MSTRG.108	AT1G02160.2	AT1G02160	2	633	=
AT1G02170.1	MSTRG.108	AT1G02170.1	AT1G02170	5	1451	=
AT1G02190.1	MSTRG.110	AT1G02190.1	AT1G02190	7	2195	=
AT1G02190.2	MSTRG.110	AT1G02190.2	AT1G02190	7	2178	=
AT1G02205.2	MSTRG.111	AT1G02205.2	AT1G02205	10	2705	=
AT1G02205.4	MSTRG.111	AT1G02205.4	AT1G02205	9	2504	=
AT1G02205.3	MSTRG.111	AT1G02205.3	AT1G02205	10	2388	=
AT1G02205.5	MSTRG.111	AT1G02205.5	AT1G02205	8	3118	=
AT1G02205.1	MSTRG.111	AT1G02205.1	AT1G02205	9	2499	=
AT1G04093.1	AT1G04093	AT1G04093.1	AT1G04093	1	499	=
MSTRG.116.2	MSTRG.116	TCONS_00000189	XLOC_000071	11	1456	j
MSTRG.116.1	MSTRG.116	TCONS_00000188	XLOC_000071	10	1596	j
AT1G02300.1	MSTRG.116	AT1G02300.1	AT1G02300	10	1563	=
AT1G02305.1	MSTRG.117	AT1G02305.1	AT1G02305	11	1407	=
AT1G04103.1	MSTRG.120	AT1G04103.1	AT1G04103	1	862	=
AT1G04103.2	MSTRG.121	AT1G04103.2	AT1G04103	2	516	=
AT1G02320.1	MSTRG.121	AT1G02320.1	AT1G02320	1	147	=
MSTRG.124.1	MSTRG.124	TCONS_00000195	XLOC_000075	3	1380	j
AT1G02350.1	MSTRG.124	AT1G02350.1	AT1G02350	4	1296	=
AT1G02370.1	MSTRG.126	AT1G02370.1	AT1G02370	2	1986	=
AT1G02380.1	MSTRG.127	AT1G02380.1	AT1G02380	4	1317	=
AT1G02390.1	MSTRG.128	AT1G02390.1	AT1G02390	2	2074	=
MSTRG.129.1	MSTRG.129	TCONS_00000200	XLOC_000079	2	2923	m
AT1G02400.1	MSTRG.129	AT1G02400.1	AT1G02400	3	1414	=
AT1G02400.2	MSTRG.129	AT1G02400.2	AT1G02400	2	1496	=
AT1G02410.1	MSTRG.131	AT1G02410.1	AT1G02410	8	1294	=
AT1G02410.3	MSTRG.131	AT1G02410.3	AT1G02410	8	1337	=
AT1G02410.2	MSTRG.131	AT1G02410.2	AT1G02410	7	1456	=
AT1G02420.1	MSTRG.132	AT1G02420.1	AT1G02420	1	1520	=
AT1G04123.1	MSTRG.134	AT1G04123.1	AT1G04123	1	304	=
AT1G02480.1	AT1G02480	AT1G02480.1	AT1G02480	1	73	=
AT1G02490.1	AT1G02490	AT1G02490.1	AT1G02490	1	298	=
AT1G02500.1	MSTRG.139	AT1G02500.1	AT1G02500	2	1748	=
AT1G02500.2	MSTRG.139	AT1G02500.2	AT1G02500	2	1588	=
MSTRG.141.1	MSTRG.141	TCONS_00000212	XLOC_000086	12	4253	j
AT1G02520.1	MSTRG.141	AT1G02520.1	AT1G02520	11	4310	=
AT1G02520.2	MSTRG.141	AT1G02520.2	AT1G02520	11	4344	=
AT1G02520.3	MSTRG.141	AT1G02520.3	AT1G02520	10	4208	=
AT1G02530.2	MSTRG.141	AT1G02530.2	AT1G02530	9	4221	=
AT1G02530.1	MSTRG.141	AT1G02530.1	AT1G02530	10	4114	=
AT1G02550.1	AT1G02550	AT1G02550.1	AT1G02550	1	729	=
AT1G02560.1	MSTRG.142	AT1G02560.1	AT1G02560	9	1479	=
AT1G02570.1	AT1G02570	AT1G02570.1	AT1G02570	1	1010	=
AT1G02575.1	AT1G02575	AT1G02575.1	AT1G02575	1	1047	=
AT1G02580.2	AT1G02580	AT1G02580.2	AT1G02580	14	1819	=
AT1G02580.1	AT1G02580	AT1G02580.1	AT1G02580	17	2341	=
AT1G02600.1	AT1G02600	AT1G02600.1	AT1G02600	1	72	=
AT1G02620.1	AT1G02620	AT1G02620.1	AT1G02620	3	1383	=
AT1G04137.1	AT1G04137	AT1G04137.1	AT1G04137	1	517	=
AT1G02640.1	MSTRG.144	AT1G02640.1	AT1G02640	5	2773	=
AT1G02650.2	MSTRG.145	AT1G02650.2	AT1G02650	2	1916	=
AT1G02650.1	MSTRG.145	AT1G02650.1	AT1G02650	3	1824	=
AT1G02670.1	MSTRG.148	AT1G02670.1	AT1G02670	16	2394	=
AT1G02670.4	MSTRG.148	AT1G02670.4	AT1G02670	10	1928	=
AT1G02670.3	MSTRG.148	AT1G02670.3	AT1G02670	15	2601	=
AT1G02670.2	MSTRG.148	AT1G02670.2	AT1G02670	14	2683	=
AT1G02670.6	MSTRG.148	AT1G02670.6	AT1G02670	16	2362	=
AT1G02670.5	MSTRG.148	AT1G02670.5	AT1G02670	15	2444	=
AT1G02670.7	MSTRG.148	AT1G02670.7	AT1G02670	14	2321	=
AT1G02680.1	MSTRG.149	AT1G02680.1	AT1G02680	6	907	=
MSTRG.150.1	MSTRG.150	TCONS_00000238	XLOC_000099	1	560	p
AT1G02690.1	MSTRG.151	AT1G02690.1	AT1G02690	10	2171	=
AT1G02690.2	MSTRG.151	AT1G02690.2	AT1G02690	10	2048	=
AT1G02700.1	AT1G02700	AT1G02700.1	AT1G02700	2	1356	=
AT1G02705.1	AT1G02705	AT1G02705.1	AT1G02705	2	426	=
AT1G02720.1	MSTRG.152	AT1G02720.1	AT1G02720	2	1947	=
AT1G02720.2	MSTRG.152	AT1G02720.2	AT1G02720	1	2439	=
AT1G02750.1	MSTRG.155	AT1G02750.1	AT1G02750	4	1103	=
MSTRG.155.2	MSTRG.155	TCONS_00000246	XLOC_000104	3	1188	m
AT1G02750.2	MSTRG.155	AT1G02750.2	AT1G02750	4	943	=
AT1G02760.1	AT1G02760	AT1G02760.1	AT1G02760	1	73	=
AT1G02810.1	MSTRG.160	AT1G02810.1	AT1G02810	2	2132	=
AT1G02813.1	AT1G02813	AT1G02813.1	AT1G02813	1	652	=
AT1G02816.1	MSTRG.162	AT1G02816.1	AT1G02816	1	1602	=
MSTRG.164.1	MSTRG.164	TCONS_00000252	XLOC_000109	13	1588	j
AT1G02840.1	MSTRG.164	AT1G02840.1	AT1G02840	13	1517	=
AT1G02840.4	MSTRG.164	AT1G02840.4	AT1G02840	13	1984	=
AT1G02840.3	MSTRG.164	AT1G02840.3	AT1G02840	12	1368	=
MSTRG.164.5	MSTRG.164	TCONS_00000257	XLOC_000109	14	1848	j
AT1G02840.5	MSTRG.164	AT1G02840.5	AT1G02840	13	1922	=
AT1G02840.2	MSTRG.164	AT1G02840.2	AT1G02840	13	1729	=
AT1G02850.3	MSTRG.165	AT1G02850.3	AT1G02850	11	2193	=
AT1G02850.5	MSTRG.165	AT1G02850.5	AT1G02850	12	2093	=
AT1G02850.2	MSTRG.165	AT1G02850.2	AT1G02850	13	2024	=
AT1G02850.1	MSTRG.165	AT1G02850.1	AT1G02850	13	1943	=
AT1G02850.4	MSTRG.165	AT1G02850.4	AT1G02850	12	1965	=
AT1G02860.3	MSTRG.166	AT1G02860.3	AT1G02860	3	1065	=
AT1G02860.2	MSTRG.166	AT1G02860.2	AT1G02860	6	1511	=
AT1G02860.1	MSTRG.166	AT1G02860.1	AT1G02860	6	1517	=
AT1G04153.1	MSTRG.169	AT1G04153.1	AT1G04153	1	460	=
MSTRG.171.1	MSTRG.171	TCONS_00000268	XLOC_000113	1	759	u
AT1G02952.1	MSTRG.179	AT1G02952.1	AT1G02952	3	422	=
AT1G02952.2	MSTRG.179	TCONS_00000270	XLOC_000114	1	487	k
AT1G02970.1	MSTRG.182	AT1G02970.1	AT1G02970	10	1897	=
AT1G02980.1	MSTRG.184	AT1G02980.1	AT1G02980	15	2488	=
AT1G02980.2	MSTRG.184	AT1G02980.2	AT1G02980	14	2395	=
AT1G03010.1	AT1G03010	AT1G03010.1	AT1G03010	5	2511	=
AT1G03010.2	AT1G03010	AT1G03010.2	AT1G03010	5	2234	=
AT1G03010.3	AT1G03010	AT1G03010.3	AT1G03010	4	2195	=
AT1G03030.1	MSTRG.187	AT1G03030.1	AT1G03030	12	1523	=
AT1G03030.2	MSTRG.187	AT1G03030.2	AT1G03030	11	1525	=
AT1G03050.1	MSTRG.189	AT1G03050.1	AT1G03050	4	2222	=
AT1G03070.3	MSTRG.192	AT1G03070.3	AT1G03070	4	1248	=
AT1G03070.2	MSTRG.192	AT1G03070.2	AT1G03070	5	1165	=
AT1G03070.1	MSTRG.192	AT1G03070.1	AT1G03070	5	1132	=
AT1G03090.2	MSTRG.194	AT1G03090.2	AT1G03090	16	2821	=
MSTRG.194.2	MSTRG.194	TCONS_00000284	XLOC_000121	16	2759	j
AT1G03090.1	MSTRG.194	AT1G03090.1	AT1G03090	15	2627	=
MSTRG.194.4	MSTRG.194	TCONS_00000286	XLOC_000121	16	2729	j
AT1G04163.1	MSTRG.197	AT1G04163.1	AT1G04163	1	1424	=
AT1G03103.1	AT1G03103	AT1G03103.1	AT1G03103	3	640	=
AT1G03110.1	MSTRG.199	AT1G03110.1	AT1G03110	10	1578	=
MSTRG.199.2	MSTRG.199	TCONS_00000290	XLOC_000124	10	1561	j
AT1G03120.1	MSTRG.200	AT1G03120.1	AT1G03120	2	629	=
AT1G03120.2	MSTRG.200	AT1G03120.2	AT1G03120	2	648	=
AT1G03150.1	MSTRG.202	AT1G03150.1	AT1G03150	6	809	=
MSTRG.204.1	MSTRG.204	TCONS_00000294	XLOC_000127	12	3880	j
MSTRG.204.2	MSTRG.204	TCONS_00000297	XLOC_000127	11	3131	j
AT1G03160.3	MSTRG.204	AT1G03160.3	AT1G03160	11	3046	=
AT1G03160.1	MSTRG.204	AT1G03160.1	AT1G03160	11	3081	=
MSTRG.204.3	MSTRG.204	TCONS_00000298	XLOC_000127	12	3626	j
MSTRG.204.6	MSTRG.204	TCONS_00000299	XLOC_000127	12	3689	j
AT1G03160.4	MSTRG.204	AT1G03160.4	AT1G03160	10	2973	=
AT1G03160.2	MSTRG.204	AT1G03160.2	AT1G03160	11	3125	=
MSTRG.204.9	MSTRG.204	TCONS_00000302	XLOC_000127	12	3862	j
AT1G03165.1	MSTRG.204	AT1G03165.1	AT1G03165	2	545	=
AT1G03170.1	MSTRG.206	AT1G03170.1	AT1G03170	1	2309	=
AT1G03180.3	MSTRG.207	AT1G03180.3	AT1G03180	6	1577	=
AT1G03180.1	MSTRG.207	AT1G03180.1	AT1G03180	7	1166	=
AT1G03180.2	MSTRG.207	AT1G03180.2	AT1G03180	6	1567	=
AT1G03180.4	MSTRG.207	AT1G03180.4	AT1G03180	7	1154	=
AT1G03180.5	MSTRG.207	AT1G03180.5	AT1G03180	8	1062	=
AT1G03180.6	MSTRG.207	AT1G03180.6	AT1G03180	7	1097	=
MSTRG.208.1	MSTRG.208	TCONS_00000311	XLOC_000130	13	2640	j
AT1G03190.1	MSTRG.208	AT1G03190.1	AT1G03190	13	2613	=
AT1G03190.2	MSTRG.208	AT1G03190.2	AT1G03190	12	2676	=
AT1G04177.1	MSTRG.209	AT1G04177.1	AT1G04177	1	335	=
MSTRG.209.2	MSTRG.209	TCONS_00000315	XLOC_000131	8	1493	j
AT1G03200.1	MSTRG.209	AT1G03200.1	AT1G03200	3	665	=
AT1G03210.2	MSTRG.209	AT1G03210.2	AT1G03210	4	1124	=
AT1G03210.1	MSTRG.209	AT1G03210.1	AT1G03210	5	1040	=
AT1G03220.1	MSTRG.210	AT1G03220.1	AT1G03220	1	1891	=
AT1G03230.1	MSTRG.211	AT1G03230.1	AT1G03230	1	1870	=
AT1G03270.1	MSTRG.214	AT1G03270.1	AT1G03270	13	1765	=
AT1G03280.1	MSTRG.215	AT1G03280.1	AT1G03280	11	1966	=
AT1G03280.2	MSTRG.215	AT1G03280.2	AT1G03280	11	2312	=
AT1G03280.3	MSTRG.215	AT1G03280.3	AT1G03280	11	1948	=
MSTRG.215.4	MSTRG.215	TCONS_00000325	XLOC_000135	10	2341	m
AT1G03290.2	MSTRG.216	AT1G03290.2	AT1G03290	9	4542	=
AT1G03290.3	MSTRG.216	AT1G03290.3	AT1G03290	8	4846	=
MSTRG.216.3	MSTRG.216	TCONS_00000328	XLOC_000136	9	4522	n
AT1G03290.4	MSTRG.216	AT1G03290.4	AT1G03290	10	4443	=
MSTRG.216.5	MSTRG.216	TCONS_00000330	XLOC_000136	9	4397	j
MSTRG.216.7	MSTRG.216	TCONS_00000332	XLOC_000136	9	4368	j
MSTRG.216.6	MSTRG.216	TCONS_00000331	XLOC_000136	9	4538	n
MSTRG.216.8	MSTRG.216	TCONS_00000336	XLOC_000136	9	4522	n
AT1G03290.6	MSTRG.216	AT1G03290.6	AT1G03290	10	4351	=
AT1G03290.5	MSTRG.216	AT1G03290.5	AT1G03290	10	4417	=
AT1G03290.1	MSTRG.216	AT1G03290.1	AT1G03290	9	4386	=
AT1G03310.2	MSTRG.218	AT1G03310.2	AT1G03310	2	3076	=
AT1G03310.1	MSTRG.218	AT1G03310.1	AT1G03310	2	3053	=
AT1G03320.1	AT1G03320	AT1G03320.1	AT1G03320	2	701	=
AT1G03340.1	AT1G03340	AT1G03340.1	AT1G03340	5	1507	=
AT1G03360.1	MSTRG.221	AT1G03360.1	AT1G03360	7	1325	=
AT1G03365.1	MSTRG.222	AT1G03365.1	AT1G03365	3	2892	=
AT1G03365.2	MSTRG.222	AT1G03365.2	AT1G03365	2	3287	=
AT1G03370.2	MSTRG.223	AT1G03370.2	AT1G03370	7	4193	=
AT1G03370.1	MSTRG.223	AT1G03370.1	AT1G03370	8	3896	=
AT1G03380.1	MSTRG.224	AT1G03380.1	AT1G03380	9	4183	=
AT1G03395.1	MSTRG.226	AT1G03395.1	AT1G03395	2	229	=
