transcript_id	gene_id	ref_gene_id	cmp_ref	class_code
AT1G01580.1	AT1G01580	AT1G01580	AT1G01580.2	=
AT1G01590.1	MSTRG.50	AT1G01590	AT1G01590.1	=
AT1G01600.1	MSTRG.51	AT1G01600	AT1G01600.1	=
AT1G01630.1	MSTRG.54	AT1G01630	AT1G01630.1	=
AT1G01690.2	MSTRG.58	AT1G01690	AT1G01690.2	=
AT1G01690.1	MSTRG.58	AT1G01690	AT1G01690.1	=
MSTRG.58.3	MSTRG.58	NA	AT1G01690.2	j
AT1G01690.3	MSTRG.58	AT1G01690	AT1G01690.3	=
AT1G01695.1	MSTRG.59	AT1G01695	AT1G01695.1	=
AT1G04033.1	AT1G04033	AT1G04033	AT1G04033.1	=
MSTRG.61.1	MSTRG.61	NA	AT1G01710.1	j
MSTRG.61.2	MSTRG.61	NA	AT1G01710.1	j
MSTRG.61.3	MSTRG.61	NA	AT1G01710.1	k
MSTRG.61.4	MSTRG.61	NA	AT1G01710.1	j
AT1G01710.1	MSTRG.61	AT1G01710	AT1G01710.1	=
AT1G01715.1	MSTRG.61	AT1G01715	AT1G01715.1	=
AT1G01715.2	MSTRG.61	AT1G01715	AT1G01715.2	=
AT1G01720.1	MSTRG.63	AT1G01720	AT1G01720.1	=
AT1G04047.1	MSTRG.66	AT1G04047	AT1G04047.1	=
AT1G01730.1	MSTRG.67	AT1G01730	AT1G01730.1	=
MSTRG.67.2	MSTRG.67	NA	AT1G01730.1	m
AT1G01750.1	MSTRG.69	AT1G01750	AT1G01750.1	=
AT1G01750.2	MSTRG.69	AT1G01750	AT1G01750.2	=
AT1G04057.1	MSTRG.71	AT1G04057	AT1G04057.1	=
MSTRG.72.1	MSTRG.72	NA	AT1G01770.1	k
AT1G01770.1	MSTRG.72	AT1G01770	AT1G01770.1	=
AT1G01780.1	MSTRG.72	AT1G01780	AT1G01780.1	=
AT1G01790.1	MSTRG.73	AT1G01790	AT1G01790.1	=
MSTRG.73.2	MSTRG.73	NA	AT1G01790.1	j
MSTRG.73.4	MSTRG.73	NA	AT1G01790.1	j
MSTRG.73.3	MSTRG.73	NA	AT1G01790.1	j
AT1G01790.2	MSTRG.73	AT1G01790	AT1G01790.2	=
AT1G01800.1	MSTRG.74	AT1G01800	AT1G01800.1	=
AT1G01800.2	MSTRG.74	AT1G01800	AT1G01800.2	=
AT1G01810.1	MSTRG.75	AT1G01810	AT1G01810.1	=
AT1G01840.1	MSTRG.78	AT1G01840	AT1G01840.1	=
AT1G04073.1	MSTRG.80	AT1G04073	AT1G04073.1	=
AT1G01870.1	MSTRG.81	AT1G01870	AT1G01870.1	=
AT1G01900.1	MSTRG.82	AT1G01900	AT1G01900.1	=
AT1G04083.1	MSTRG.85	AT1G04083	AT1G04083.1	=
AT1G01920.3	MSTRG.86	AT1G01920	AT1G01920.3	=
AT1G01920.2	MSTRG.86	AT1G01920	AT1G01920.2	=
AT1G01920.4	MSTRG.86	AT1G01920	AT1G01920.4	=
AT1G01920.5	MSTRG.86	AT1G01920	AT1G01920.5	=
AT1G01920.1	MSTRG.86	AT1G01920	AT1G01920.1	=
AT1G01940.1	MSTRG.88	AT1G01940	AT1G01940.1	=
AT1G01950.1	MSTRG.89	AT1G01950	AT1G01950.1	=
AT1G01950.4	MSTRG.89	AT1G01950	AT1G01950.4	=
MSTRG.89.3	MSTRG.89	NA	AT1G01950.3	j
AT1G01950.3	MSTRG.89	AT1G01950	AT1G01950.3	=
AT1G01950.2	MSTRG.89	AT1G01950	AT1G01950.2	=
AT1G01970.1	MSTRG.91	AT1G01970	AT1G01970.1	=
AT1G02000.1	MSTRG.94	AT1G02000	AT1G02000.1	=
AT1G02010.1	MSTRG.95	AT1G02010	AT1G02010.1	=
AT1G02010.3	MSTRG.95	AT1G02010	AT1G02010.3	=
AT1G02010.5	MSTRG.95	AT1G02010	AT1G02010.5	=
AT1G02010.4	MSTRG.95	AT1G02010	AT1G02010.4	=
AT1G02010.2	MSTRG.95	AT1G02010	AT1G02010.2	=
AT1G02010.6	MSTRG.95	AT1G02010	AT1G02010.6	=
AT1G02065.2	MSTRG.99	AT1G02065	AT1G02065.2	=
AT1G02065.1	MSTRG.99	AT1G02065	AT1G02065.1	=
AT1G02080.1	MSTRG.102	AT1G02080	AT1G02080.1	=
AT1G02080.2	MSTRG.102	AT1G02080	AT1G02080.2	=
AT1G02080.3	MSTRG.102	AT1G02080	AT1G02080.3	=
MSTRG.102.4	MSTRG.102	NA	AT1G02080.1	j
MSTRG.102.5	MSTRG.102	NA	AT1G02080.1	j
AT1G02100.1	MSTRG.104	AT1G02100	AT1G02100.1	=
MSTRG.104.2	MSTRG.104	NA	AT1G02100.3	j
MSTRG.104.3	MSTRG.104	NA	AT1G02120.1	k
MSTRG.104.5	MSTRG.104	NA	AT1G02100.3	j
MSTRG.104.6	MSTRG.104	NA	AT1G02100.3	j
MSTRG.104.4	MSTRG.104	NA	AT1G02100.3	j
AT1G02100.2	MSTRG.104	AT1G02100	AT1G02100.2	=
MSTRG.104.9	MSTRG.104	NA	AT1G02100.3	n
MSTRG.104.8	MSTRG.104	NA	AT1G02100.3	n
AT1G02100.3	MSTRG.104	AT1G02100	AT1G02100.3	=
MSTRG.104.11	MSTRG.104	NA	AT1G02100.3	j
AT1G02110.1	MSTRG.104	AT1G02110	AT1G02110.1	=
AT1G02120.3	MSTRG.104	AT1G02120	AT1G02120.3	=
AT1G02120.2	MSTRG.104	AT1G02120	AT1G02120.2	=
AT1G02120.1	MSTRG.104	AT1G02120	AT1G02120.1	=
AT1G04087.1	MSTRG.107	AT1G04087	AT1G04087.1	=
MSTRG.108.1	MSTRG.108	NA	AT1G02145.3	j
MSTRG.108.2	MSTRG.108	NA	AT1G02145.3	n
AT1G02145.4	MSTRG.108	AT1G02145	AT1G02145.4	=
AT1G02145.3	MSTRG.108	AT1G02145	AT1G02145.3	=
AT1G02145.2	MSTRG.108	AT1G02145	AT1G02145.2	=
AT1G02145.1	MSTRG.108	AT1G02145	AT1G02145.1	=
MSTRG.108.4	MSTRG.108	NA	AT1G02145.3	j
MSTRG.108.3	MSTRG.108	NA	AT1G02145.3	n
AT1G02150.1	MSTRG.108	AT1G02150	AT1G02150.1	=
AT1G02160.1	MSTRG.108	AT1G02160	AT1G02160.1	=
AT1G02160.2	MSTRG.108	AT1G02160	AT1G02160.2	=
AT1G02170.1	MSTRG.108	AT1G02170	AT1G02170.1	=
AT1G02190.1	MSTRG.110	AT1G02190	AT1G02190.1	=
AT1G02190.2	MSTRG.110	AT1G02190	AT1G02190.2	=
AT1G02205.2	MSTRG.111	AT1G02205	AT1G02205.2	=
AT1G02205.4	MSTRG.111	AT1G02205	AT1G02205.4	=
AT1G02205.3	MSTRG.111	AT1G02205	AT1G02205.3	=
AT1G02205.5	MSTRG.111	AT1G02205	AT1G02205.5	=
AT1G02205.1	MSTRG.111	AT1G02205	AT1G02205.1	=
AT1G04093.1	AT1G04093	AT1G04093	AT1G04093.1	=
MSTRG.116.2	MSTRG.116	NA	AT1G02300.1	j
MSTRG.116.1	MSTRG.116	NA	AT1G02300.1	j
AT1G02300.1	MSTRG.116	AT1G02300	AT1G02300.1	=
AT1G02305.1	MSTRG.117	AT1G02305	AT1G02305.1	=
AT1G04103.1	MSTRG.120	AT1G04103	AT1G04103.1	=
AT1G04103.2	MSTRG.121	AT1G04103	AT1G04103.2	=
AT1G02320.1	MSTRG.121	AT1G02320	AT1G02320.1	=
MSTRG.124.1	MSTRG.124	NA	AT1G02350.1	j
AT1G02350.1	MSTRG.124	AT1G02350	AT1G02350.1	=
AT1G02370.1	MSTRG.126	AT1G02370	AT1G02370.1	=
AT1G02380.1	MSTRG.127	AT1G02380	AT1G02380.1	=
AT1G02390.1	MSTRG.128	AT1G02390	AT1G02390.1	=
MSTRG.129.1	MSTRG.129	NA	AT1G02400.1	m
AT1G02400.1	MSTRG.129	AT1G02400	AT1G02400.1	=
AT1G02400.2	MSTRG.129	AT1G02400	AT1G02400.2	=
AT1G02410.1	MSTRG.131	AT1G02410	AT1G02410.1	=
AT1G02410.3	MSTRG.131	AT1G02410	AT1G02410.3	=
AT1G02410.2	MSTRG.131	AT1G02410	AT1G02410.2	=
AT1G02420.1	MSTRG.132	AT1G02420	AT1G02420.1	=
AT1G04123.1	MSTRG.134	AT1G04123	AT1G04123.1	=
AT1G02480.1	AT1G02480	AT1G02480	AT1G02480.1	=
AT1G02490.1	AT1G02490	AT1G02490	AT1G02490.1	=
AT1G02500.1	MSTRG.139	AT1G02500	AT1G02500.1	=
AT1G02500.2	MSTRG.139	AT1G02500	AT1G02500.2	=
MSTRG.141.1	MSTRG.141	NA	AT1G02520.1	j
AT1G02520.1	MSTRG.141	AT1G02520	AT1G02520.1	=
AT1G02520.2	MSTRG.141	AT1G02520	AT1G02520.2	=
AT1G02520.3	MSTRG.141	AT1G02520	AT1G02520.3	=
AT1G02530.2	MSTRG.141	AT1G02530	AT1G02530.2	=
AT1G02530.1	MSTRG.141	AT1G02530	AT1G02530.1	=
AT1G02550.1	AT1G02550	AT1G02550	AT1G02550.1	=
AT1G02560.1	MSTRG.142	AT1G02560	AT1G02560.1	=
AT1G02570.1	AT1G02570	AT1G02570	AT1G02570.1	=
AT1G02575.1	AT1G02575	AT1G02575	AT1G02575.1	=
AT1G02580.2	AT1G02580	AT1G02580	AT1G02580.2	=
AT1G02580.1	AT1G02580	AT1G02580	AT1G02580.1	=
AT1G02600.1	AT1G02600	AT1G02600	AT1G02600.1	=
AT1G02620.1	AT1G02620	AT1G02620	AT1G02620.1	=
AT1G04137.1	AT1G04137	AT1G04137	AT1G04137.1	=
AT1G02640.1	MSTRG.144	AT1G02640	AT1G02640.1	=
AT1G02650.2	MSTRG.145	AT1G02650	AT1G02650.2	=
AT1G02650.1	MSTRG.145	AT1G02650	AT1G02650.1	=
AT1G02670.1	MSTRG.148	AT1G02670	AT1G02670.1	=
AT1G02670.4	MSTRG.148	AT1G02670	AT1G02670.4	=
AT1G02670.3	MSTRG.148	AT1G02670	AT1G02670.3	=
AT1G02670.2	MSTRG.148	AT1G02670	AT1G02670.2	=
AT1G02670.6	MSTRG.148	AT1G02670	AT1G02670.6	=
AT1G02670.5	MSTRG.148	AT1G02670	AT1G02670.5	=
AT1G02670.7	MSTRG.148	AT1G02670	AT1G02670.7	=
AT1G02680.1	MSTRG.149	AT1G02680	AT1G02680.1	=
MSTRG.150.1	MSTRG.150	NA	AT1G02680.1	p
AT1G02690.1	MSTRG.151	AT1G02690	AT1G02690.1	=
AT1G02690.2	MSTRG.151	AT1G02690	AT1G02690.2	=
AT1G02700.1	AT1G02700	AT1G02700	AT1G02700.1	=
AT1G02705.1	AT1G02705	AT1G02705	AT1G02705.1	=
AT1G02720.1	MSTRG.152	AT1G02720	AT1G02720.1	=
AT1G02720.2	MSTRG.152	AT1G02720	AT1G02720.2	=
AT1G02750.1	MSTRG.155	AT1G02750	AT1G02750.1	=
MSTRG.155.2	MSTRG.155	NA	AT1G02750.1	m
AT1G02750.2	MSTRG.155	AT1G02750	AT1G02750.2	=
AT1G02760.1	AT1G02760	AT1G02760	AT1G02760.1	=
AT1G02810.1	MSTRG.160	AT1G02810	AT1G02810.1	=
AT1G02813.1	AT1G02813	AT1G02813	AT1G02813.1	=
AT1G02816.1	MSTRG.162	AT1G02816	AT1G02816.1	=
MSTRG.164.1	MSTRG.164	NA	AT1G02840.4	j
AT1G02840.1	MSTRG.164	AT1G02840	AT1G02840.1	=
AT1G02840.4	MSTRG.164	AT1G02840	AT1G02840.4	=
AT1G02840.3	MSTRG.164	AT1G02840	AT1G02840.3	=
MSTRG.164.5	MSTRG.164	NA	AT1G02840.4	j
AT1G02840.5	MSTRG.164	AT1G02840	AT1G02840.5	=
AT1G02840.2	MSTRG.164	AT1G02840	AT1G02840.2	=
AT1G02850.3	MSTRG.165	AT1G02850	AT1G02850.3	=
AT1G02850.5	MSTRG.165	AT1G02850	AT1G02850.5	=
AT1G02850.2	MSTRG.165	AT1G02850	AT1G02850.2	=
AT1G02850.1	MSTRG.165	AT1G02850	AT1G02850.1	=
AT1G02850.4	MSTRG.165	AT1G02850	AT1G02850.4	=
AT1G02860.3	MSTRG.166	AT1G02860	AT1G02860.3	=
AT1G02860.2	MSTRG.166	AT1G02860	AT1G02860.2	=
AT1G02860.1	MSTRG.166	AT1G02860	AT1G02860.1	=
AT1G04153.1	MSTRG.169	AT1G04153	AT1G04153.1	=
MSTRG.171.1	MSTRG.171	NA	NA	u
AT1G02952.1	MSTRG.179	AT1G02952	AT1G02952.1	=
AT1G02952.2	MSTRG.179	AT1G02952	AT1G02952.2	k
AT1G02970.1	MSTRG.182	AT1G02970	AT1G02970.1	=
AT1G02980.1	MSTRG.184	AT1G02980	AT1G02980.1	=
AT1G02980.2	MSTRG.184	AT1G02980	AT1G02980.2	=
AT1G03010.1	AT1G03010	AT1G03010	AT1G03010.1	=
AT1G03010.2	AT1G03010	AT1G03010	AT1G03010.2	=
AT1G03010.3	AT1G03010	AT1G03010	AT1G03010.3	=
AT1G03030.1	MSTRG.187	AT1G03030	AT1G03030.1	=
AT1G03030.2	MSTRG.187	AT1G03030	AT1G03030.2	=
AT1G03050.1	MSTRG.189	AT1G03050	AT1G03050.1	=
AT1G03070.3	MSTRG.192	AT1G03070	AT1G03070.3	=
AT1G03070.2	MSTRG.192	AT1G03070	AT1G03070.2	=
AT1G03070.1	MSTRG.192	AT1G03070	AT1G03070.1	=
AT1G03090.2	MSTRG.194	AT1G03090	AT1G03090.2	=
MSTRG.194.2	MSTRG.194	NA	AT1G03090.2	j
AT1G03090.1	MSTRG.194	AT1G03090	AT1G03090.1	=
MSTRG.194.4	MSTRG.194	NA	AT1G03090.2	j
AT1G04163.1	MSTRG.197	AT1G04163	AT1G04163.1	=
AT1G03103.1	AT1G03103	AT1G03103	AT1G03103.1	=
AT1G03110.1	MSTRG.199	AT1G03110	AT1G03110.1	=
MSTRG.199.2	MSTRG.199	NA	AT1G03110.1	j
AT1G03120.1	MSTRG.200	AT1G03120	AT1G03120.1	=
AT1G03120.2	MSTRG.200	AT1G03120	AT1G03120.2	=
AT1G03150.1	MSTRG.202	AT1G03150	AT1G03150.1	=
MSTRG.204.1	MSTRG.204	NA	AT1G03160.2	j
MSTRG.204.2	MSTRG.204	NA	AT1G03160.2	j
AT1G03160.3	MSTRG.204	AT1G03160	AT1G03160.3	=
AT1G03160.1	MSTRG.204	AT1G03160	AT1G03160.1	=
MSTRG.204.3	MSTRG.204	NA	AT1G03160.2	j
MSTRG.204.6	MSTRG.204	NA	AT1G03160.2	j
AT1G03160.4	MSTRG.204	AT1G03160	AT1G03160.4	=
AT1G03160.2	MSTRG.204	AT1G03160	AT1G03160.2	=
MSTRG.204.9	MSTRG.204	NA	AT1G03160.2	j
AT1G03165.1	MSTRG.204	AT1G03165	AT1G03165.1	=
AT1G03170.1	MSTRG.206	AT1G03170	AT1G03170.1	=
AT1G03180.3	MSTRG.207	AT1G03180	AT1G03180.3	=
AT1G03180.1	MSTRG.207	AT1G03180	AT1G03180.1	=
AT1G03180.2	MSTRG.207	AT1G03180	AT1G03180.2	=
AT1G03180.4	MSTRG.207	AT1G03180	AT1G03180.4	=
AT1G03180.5	MSTRG.207	AT1G03180	AT1G03180.5	=
AT1G03180.6	MSTRG.207	AT1G03180	AT1G03180.6	=
MSTRG.208.1	MSTRG.208	NA	AT1G03190.1	j
AT1G03190.1	MSTRG.208	AT1G03190	AT1G03190.1	=
AT1G03190.2	MSTRG.208	AT1G03190	AT1G03190.2	=
AT1G04177.1	MSTRG.209	AT1G04177	AT1G04177.1	=
MSTRG.209.2	MSTRG.209	NA	AT1G03210.1	j
AT1G03200.1	MSTRG.209	AT1G03200	AT1G03200.1	=
AT1G03210.2	MSTRG.209	AT1G03210	AT1G03210.2	=
AT1G03210.1	MSTRG.209	AT1G03210	AT1G03210.1	=
AT1G03220.1	MSTRG.210	AT1G03220	AT1G03220.1	=
AT1G03230.1	MSTRG.211	AT1G03230	AT1G03230.1	=
AT1G03270.1	MSTRG.214	AT1G03270	AT1G03270.1	=
AT1G03280.1	MSTRG.215	AT1G03280	AT1G03280.1	=
AT1G03280.2	MSTRG.215	AT1G03280	AT1G03280.2	=
AT1G03280.3	MSTRG.215	AT1G03280	AT1G03280.3	=
MSTRG.215.4	MSTRG.215	NA	AT1G03280.2	m
AT1G03290.2	MSTRG.216	AT1G03290	AT1G03290.2	=
AT1G03290.3	MSTRG.216	AT1G03290	AT1G03290.3	=
MSTRG.216.3	MSTRG.216	NA	AT1G03290.4	n
AT1G03290.4	MSTRG.216	AT1G03290	AT1G03290.4	=
MSTRG.216.5	MSTRG.216	NA	AT1G03290.4	j
MSTRG.216.7	MSTRG.216	NA	AT1G03290.4	j
MSTRG.216.6	MSTRG.216	NA	AT1G03290.4	n
MSTRG.216.8	MSTRG.216	NA	AT1G03290.4	n
AT1G03290.6	MSTRG.216	AT1G03290	AT1G03290.6	=
AT1G03290.5	MSTRG.216	AT1G03290	AT1G03290.5	=
AT1G03290.1	MSTRG.216	AT1G03290	AT1G03290.1	=
AT1G03310.2	MSTRG.218	AT1G03310	AT1G03310.2	=
AT1G03310.1	MSTRG.218	AT1G03310	AT1G03310.1	=
AT1G03320.1	AT1G03320	AT1G03320	AT1G03320.1	=
AT1G03340.1	AT1G03340	AT1G03340	AT1G03340.1	=
AT1G03360.1	MSTRG.221	AT1G03360	AT1G03360.1	=
AT1G03365.1	MSTRG.222	AT1G03365	AT1G03365.1	=
AT1G03365.2	MSTRG.222	AT1G03365	AT1G03365.2	=
AT1G03370.2	MSTRG.223	AT1G03370	AT1G03370.2	=
AT1G03370.1	MSTRG.223	AT1G03370	AT1G03370.1	=
AT1G03380.1	MSTRG.224	AT1G03380	AT1G03380.1	=
AT1G03395.1	MSTRG.226	AT1G03395	AT1G03395.1	=
AT1G04183.1	MSTRG.229	AT1G04183	AT1G04183.1	=
MSTRG.230.1	MSTRG.230	NA	AT1G03430.1	j
MSTRG.230.2	MSTRG.230	NA	AT1G03430.1	j
AT1G03430.2	MSTRG.230	AT1G03430	AT1G03430.2	=
AT1G03430.1	MSTRG.230	AT1G03430	AT1G03430.1	=
AT1G03440.1	MSTRG.231	AT1G03440	AT1G03440.1	=
AT1G03490.1	AT1G03490	AT1G03490	AT1G03490.1	=
AT1G03495.1	MSTRG.236	AT1G03495	AT1G03495.1	=
AT1G03515.1	MSTRG.239	AT1G03515	AT1G03515.1	=
AT1G03540.1	MSTRG.242	AT1G03540	AT1G03540.1	=
AT1G03545.2	MSTRG.244	AT1G03545	AT1G03545.2	=
AT1G03545.1	MSTRG.244	AT1G03545	AT1G03545.1	=
AT1G03570.1	AT1G03570	AT1G03570	AT1G03570.1	=
AT1G03600.1	MSTRG.247	AT1G03600	AT1G03600.1	=
AT1G03610.2	MSTRG.248	AT1G03610	AT1G03610.2	=
AT1G03610.1	MSTRG.248	AT1G03610	AT1G03610.1	=
AT1G03630.1	MSTRG.250	AT1G03630	AT1G03630.1	=
AT1G03630.2	MSTRG.250	AT1G03630	AT1G03630.2	=
AT1G04203.1	MSTRG.253	AT1G04203	AT1G04203.1	=
AT1G03687.1	MSTRG.255	AT1G03687	AT1G03687.1	=
AT1G03687.2	MSTRG.255	AT1G03687	AT1G03687.2	=
AT1G03700.1	AT1G03700	AT1G03700	AT1G03700.1	=
AT1G03710.1	MSTRG.256	AT1G03710	AT1G03710.1	=
AT1G03710.2	MSTRG.256	AT1G03710	AT1G03710.2	=
AT1G03740.2	MSTRG.260	AT1G03740	AT1G03740.2	=
AT1G03740.1	MSTRG.260	AT1G03740	AT1G03740.1	=
AT1G03750.1	MSTRG.264	AT1G03750	AT1G03750.1	=
AT1G03770.2	MSTRG.266	AT1G03770	AT1G03770.2	=
AT1G03770.4	MSTRG.266	AT1G03770	AT1G03770.4	=
AT1G03770.3	MSTRG.266	AT1G03770	AT1G03770.3	=
MSTRG.266.4	MSTRG.266	NA	AT1G03770.1	j
AT1G03770.1	MSTRG.266	AT1G03770	AT1G03770.1	=
AT1G03770.5	MSTRG.266	AT1G03770	AT1G03770.5	=
AT1G03770.6	MSTRG.266	AT1G03770	AT1G03770.6	=
AT1G03790.1	MSTRG.268	AT1G03790	AT1G03790.1	=
AT1G03810.1	MSTRG.270	AT1G03810	AT1G03810.1	=
MSTRG.274.1	MSTRG.274	NA	AT1G03850.3	x
AT1G03880.1	MSTRG.277	AT1G03880	AT1G03880.1	=
AT1G03890.1	MSTRG.278	AT1G03890	AT1G03890.1	=
AT1G03900.1	MSTRG.279	AT1G03900	AT1G03900.1	=
AT1G03905.3	MSTRG.280	AT1G03905	AT1G03905.3	=
AT1G03905.4	MSTRG.280	AT1G03905	AT1G03905.4	=
AT1G03905.2	MSTRG.280	AT1G03905	AT1G03905.2	=
AT1G03905.1	MSTRG.280	AT1G03905	AT1G03905.1	=
AT1G03910.1	MSTRG.281	AT1G03910	AT1G03910.1	=
AT1G03910.2	MSTRG.281	AT1G03910	AT1G03910.2	=
AT1G03920.3	MSTRG.282	AT1G03920	AT1G03920.3	=
AT1G03920.2	MSTRG.282	AT1G03920	AT1G03920.2	=
AT1G03920.1	MSTRG.282	AT1G03920	AT1G03920.1	=
AT1G03930.1	MSTRG.283	AT1G03930	AT1G03930.1	=
MSTRG.284.1	MSTRG.284	NA	AT1G04217.1	k
AT1G04217.1	MSTRG.284	AT1G04217	AT1G04217.1	k
MSTRG.284.2	MSTRG.284	NA	AT1G04217.1	k
AT1G03935.1	MSTRG.284	AT1G03935	AT1G03935.1	k
AT1G04223.1	MSTRG.284	AT1G04223	AT1G04223.1	k
AT1G04227.1	MSTRG.284	AT1G04227	AT1G04227.1	k
AT1G03960.2	MSTRG.287	AT1G03960	AT1G03960.2	=
AT1G03960.3	MSTRG.287	AT1G03960	AT1G03960.3	=
